id,store,address,latitude,longitude,store_type,product_category,city_region
MER_127,Carytown Dolls and Bears,"3457 W Cary St, Richmond, VA 23221",37.5548745,-77.4862735,Toy Store,Toys and Games,Carytown
MER_128,Fountain Bookstore,"1312 E Cary St, Richmond, VA 23219",37.5352134,-77.4332538,Book Store,Books,Carytown
MER_129,The Someday Shop,"22 E Broad St, Richmond, VA 23219",37.5453582,-77.4411147,Home Decor Store,Home Goods,Carytown
MER_130,Fabrik,"3004A W Cary St, Richmond, VA 23221",37.5528051,-77.4789948,Women's Clothing Store,Apparel,Carytown
MER_131,Philosophie,"3132 W Cary St, Richmond, VA 23221",37.5537421,-77.4812169,Women's Clothing Store,Apparel,Carytown
MER_132,Bonnie's Boutique,"3009 W Cary St, Richmond, VA 23221",37.5524612,-77.4793108,Women's Clothing Store,Apparel,Carytown
MER_133,Jezebel's of Carytown,"3455 W Cary St, Richmond, VA 23221",37.554905,-77.4862735,Women's Clothing Store,Apparel,Carytown
MER_134,Traveling Chic Boutique,"3143 W Cary St, Richmond, VA 23221",37.5534213,-77.4819942,Women's Clothing Store,Apparel,Carytown
MER_135,Blue Butterfly Boutique,"3141 W Cary St, Richmond, VA 23221",37.5534515,-77.481895,Women's Clothing Store,Apparel,Carytown
MER_136,The Clothes Rack,"2618 W Cary St, Richmond, VA 23220",37.5513301,-77.4746338,Women's Clothing Store and Thrift Store,Apparel,Carytown
MER_137,Blackbyrd Goods,"3439 W Cary St, Richmond, VA 23221",37.5547339,-77.4858254,Men's Clothing & Accessories,Apparel,Carytown
MER_138,Na Nin,"101 S Addison St, Richmond, VA 23220",37.5489485,-77.470298,Women's Clothing & Accessories,Apparel,Carytown
MER_139,Glassboat,"3226 W Cary St, Richmond, VA 23221",37.5544401,-77.4833721,Women's Clothing & Boutique,Apparel,Carytown
MER_140,Mitchem Shoe Repair & Alterations Shop,"3135 W Cary St, Richmond, VA 23221",37.5533515,-77.4817253,Sho Repair Shop,Footwear,Carytown
MER_141,Lou Lou,"3158A W Cary St, Richmond, VA 23221",37.5538365,-77.4821398,Jewelry & Accessories,Jewelry & Accessories,Carytown
MER_142,Beasties,"3218 W Cary St, Richmond, VA 23221",37.5542196,-77.483361,Gift Shop & Accessories,Gift Shop,Carytown
MER_143,Clover,"3024 W Cary St, Richmond, VA 23221",37.5530292,-77.4796173,Children's Clothing,Baby Products,Carytown
MER_144,Richmond Road Runner,"3002 W Cary St, Richmond, VA 23221",37.5528733,-77.4788515,Running Store,Footwear,Carytown
MER_145,Ten Thousand Villages,"3201 W Cary St, Richmond, VA 23221",37.5535669,-77.4824363,Boutique & Accessory Store,Accessories,Carytown
MER_146,Kanapa (Carytown Tabacco),"2927 W Cary St, Richmond, VA 23221",37.5522066,-77.4785555,Smoke Shop,"Vaping, CBD, Weed",Carytown
MER_147,Spectrum Paint True Value,"4307 W Broad St, Richmond VA 23230",37.5756685,-77.4868224,Hardware,Hardware,West End
MER_148,Pleasants Hardware,"5815 Patterson Ave, Richmond VA 23226",37.5797471,-77.5155927,Hardware,Hardware,West End
MER_149,Jermies Needlepoint & Linens,"5706 Patterson Ave, Richmond VA 23226",37.5788595,-77.5130661,Linen Store,Art & Art Supplies,West End
MER_150,Joann Fabrics & Crafts,"7504 W Broad St, Richmond VA 23294",37.6185576,-77.522395,Home Decor & Art Supply Store,Art & Art Supplies,West End
MER_151,Paper on the Avenue,"5807 Patterson Ave Ste 2, Richmond, VA 23226",37.5794474,-77.5151365,Boutique,Boutique,West End
MER_152,Apothec,"318 Libbie Ave, Richmond, VA 23226",37.5741367,-77.5182417,Herbal Shop,Cosmetics,West End
MER_153,Paper Plus,"5804 Grove Ave, Richmond, VA 23226",37.5732708,-77.518565,Boutique,Antique & Gift Shops,West End
MER_154,Paper Source,"3124 W Cary St, Richmond, VA 23221",37.5536773,-77.4809472,Art & Party Supply Store,Art & Art Supplies,West End
MER_155,Artee Fabrics & Home,"5478 W Broad St, Richmond, VA 23230",37.588774,-77.4996147,Home Decor & Art Supply Store,Home Decor & Art Supplies,West End
MER_156,Project1,"2012 Staples Mill Rd, Richmond, VA 23230",37.5849849,-77.4931905,Home Decor & Art Supply Store,Home Decor & Art Supplies,West End
MER_157,Stories Comics,"9040 W Broad St, Richmond, VA 23294",37.6376776,-77.5485186,Comic Book Store,Literature,West End
MER_158,The Shop at 5807,"5807 Patterson Ave, Richmond, VA 23226",37.5794474,-77.5151365,Variety Boutique Store,"Boutique, Decor, Clothing and Jewelry",West End
MER_159,The Container Store,"11732 W Broad St Ste PP1B, Richmond, VA 23233",37.6536924,-77.6150483,Home Goods,Home Goods,West End
MER_160,World Market,"11198 W Broad St, Glen Allen, VA 23060",37.6505109,-77.6003594,Home Decor & Art Supply Store,Home Goods,West End
MER_161,Nellie George,"5714 Grove Ave, Richmond, VA 23226",37.5732857,-77.5179378,Women's Clothing,Apparel,West End
MER_162,Wardrobe,"401 Libbie Ave, Richmond, VA 23226",37.5746368,-77.5177363,Women's Clothing,Apparel,West End
MER_163,Roan,"3142 W Cary St, Richmond, VA 23221",37.5538716,-77.4815946,Women's Clothing,Apparel,West End
MER_164,Everything But Water,"11800 W Broad St Ste 1242, Richmond VA 23233",37.6559808,-77.6211245,Women's Clothing,Apparel,West End
MER_165,Relics to Rhinestones,"5726A Patterson Ave, Richmond, VA 23226",37.5793225,-77.5136597,"Women's Clothing, Home Decor",Boutique & Apparel,West End
MER_166,CCH Collection,"5718 Grove Ave, Richmond, VA 23226",37.5733048,-77.518117,"Women's Clothing, Home Decor",Apparel,West End
MER_167,Frances Kahn,"6229 River Rd, Richmond, VA 23229",37.5684325,-77.5377819,Women's Clothing,Apparel,West End
MER_168,Thistles on Libbie,"411 Libbie Ave Ste 1, Richmond, VA 23226",37.5751175,-77.5175525,Accessories & Jewelry,Accessories,West End
MER_169,trend,"5021 Huguenot Rd, Richmond, VA 23229",37.5672787,-77.5379138,Women's Clothing,Apparel,West End
MER_170,On U Jewelry,"5707 Grove Ave, Richmond, VA 23226",37.5727327,-77.5175571,Jewelry,Jewelry & Accessories,West End
MER_171,Versona,"11800 W Broad St, Richmond, VA 23233",37.6559808,-77.6211245,Women's Clothing,Apparel,West End
MER_172,Irresistibles,"5814 Grove Ave, Richmod, VA 23226",37.5731989,-77.5192006,Women's Clothing,Apparel,West End
MER_173,Verve Home Furnishings,"4903 W Leigh St, Richmond, VA 23230",37.585915,-77.494601,Home Decor & Accessories,Home Goods,West End
MER_174,Alton Lane,"304 Libbie Ave, Richmond, VA 23226",37.5734949,-77.5187442,Men's Clothing,Apparel,West End
MER_175,310 Rosemont,"9200 Stony Point Pkwy Ste 200, Richmond, VA 23235",37.5508893,-77.5730132,Clothing,Apparel,West End
MER_176,Clara B,"5716 Patterson Ave, Richmond, VA 23226",37.5790202,-77.5133237,Children's Clothing,Apparel,West End
MER_177,Strange's,"12111 W Broad St, Richmond, VA 23223",37.6575445,-77.6346802,Gardening Store,Garden Supplies,West End
MER_178,Audio Exchange,"6007 W Broad St, Richmond, VA 23230",37.5929417,-77.5079406,Electronics Store,Electronics,West End
MER_179,Lush Cosmetics,"11800 W Broad St Ste 2420, Richmond, VA 23233",37.656082,-77.6203342,Beauty and Cosmetics Store,Beauty Supply,West End
MER_180,1Z 2Z 3Z,"401 Libbie Ave Ste 4, Richmond, VA 23226",37.5746368,-77.5177363,Baby Store,Baby Products,West End
MER_181,Lewis Supply Co,"101 E 7th St, Richmond VA 23224",37.5222979,-77.4393134,Hardware,Hardware,South Richmond
MER_182,Richelieu Richmond,"2720 Cofer Rd, Richmond VA 23224",37.494423,-77.4498493,Hardware,Hardware,South Richmond
MER_183,Lett Hardware,"2210 Broad Rock Blvd, Richmond VA 23224",37.4867252,-77.4763367,Hardware,Hardware,South Richmond
